chunk_size,time1,time2
4,0.00421187310218811,0.0037495943784713747
4,0.004218611311912536,0.003769636845588684
4,0.004207762598991394,0.003756441235542297
4,0.004238495016098022,0.0037959173917770385
5,0.0030989397287368775,0.0035405503511428834
5,0.0030908019542694094,0.0035360315322875975
5,0.003095159077644348,0.003549308490753174
6,0.0030482707500457764,0.0033544222593307497
6,0.0030341737747192382,0.0033506456851959228
6,0.0030501933813095092,0.0033675363302230837
7,0.0031949309587478636,0.0032393615007400515
7,0.0032153815269470214,0.0032606501579284667
8,0.002561562919616699,0.003160771441459656
8,0.0024704814672470094,0.00316942241191864
9,0.002522832798957825,0.003105289196968079
9,0.002595672297477722,0.0031372337102890013
10,0.0025270953178405764,0.0030474595069885256
10,0.0025253615617752074,0.003052885675430298
11,0.0026231341123580934,0.003032346844673157
12,0.002370475220680237,0.004632709836959839
12,0.002418513798713684,0.004631419563293457
13,0.0024689008474349976,0.004608469247817993
14,0.002445380687713623,0.004557714700698852
15,0.002523706102371216,0.004502716040611267
16,0.0024685712575912475,0.004516403889656067
17,0.0024252073764801027,0.004490657591819763
18,0.002441939187049866,0.004473816704750061
19,0.0025332668781280518,0.004471732950210572
20,0.0024034178495407105,0.0045934921741485595
21,0.0024825676202774047,0.004483890223503113
23,0.002558875298500061,0.004424230909347534
24,0.002540792608261108,0.004392666101455688
25,0.0026118582010269164,0.004395620656013489
27,0.0027529532194137574,0.004380606603622436
29,0.0027968844890594482,0.004348554635047913
30,0.002745950984954834,0.004367471885681152
32,0.0027189212083816527,0.004610737466812133
34,0.002831337356567383,0.004683622241020203
36,0.0023729617357254027,0.00451488344669342
39,0.002480009388923645,0.004615003728866577
41,0.002445576810836792,0.004576508378982544
43,0.0024518645524978636,0.0045540129661560055
46,0.0025426371335983276,0.004506038403511047
49,0.0026046002388000486,0.0043885390281677246
52,0.002341184854507446,0.004265964579582214
55,0.002405398154258728,0.004222129487991333
58,0.0024519788265228272,0.0041638982057571414
62,0.0023858335256576537,0.004075794196128846
66,0.002471678900718689,0.003994444513320923
70,0.002356137156486511,0.0038678475856781004
74,0.0023003880977630615,0.0038216243743896487
78,0.0024165412425994873,0.0037830843210220335
83,0.0023844725131988527,0.003714170217514038
88,0.0023001475095748903,0.003666243100166321
93,0.0024216660022735596,0.003639977240562439
99,0.0023628280401229856,0.003564053988456726
105,0.0023038952350616453,0.0035341389894485474
111,0.0024294562578201294,0.0035206044673919677
118,0.002309246611595154,0.0034718271017074587
125,0.0023234692096710204,0.003416003155708313
133,0.0023673813343048095,0.0033919777154922484
141,0.0023794976711273195,0.0033597772121429443
150,0.0022657702684402464,0.0033217634201049805
159,0.002357648491859436,0.0033095653295516967
168,0.0022942126274108888,0.003255776286125183
178,0.00233038489818573,0.0032250805854797363
189,0.0023689068078994752,0.003213080596923828
200,0.002328068470954895,0.003182555150985718
213,0.002245432496070862,0.003154916524887085
225,0.002339841651916504,0.0031656337976455687
239,0.0022988569498062134,0.0031412657499313356
253,0.002270475196838379,0.003111093020439148
269,0.0023144202709198,0.003123505473136902
285,0.00230304753780365,0.003105116295814514
302,0.00231222608089447,0.0030662226915359496
320,0.0023306740045547485,0.0030596953153610227
340,0.0022676498413085936,0.003022238540649414
360,0.0022290212869644165,0.003000633716583252
382,0.002303953528404236,0.003004928636550903
405,0.0022949604749679564,0.003003920650482178
429,0.0022576903581619265,0.0029961045980453492
455,0.002306733441352844,0.0030017828941345213
482,0.0022867273569107055,0.0029809746503829957
512,0.0022712791919708253,0.002979164934158325
542,0.0023231642007827758,0.0029690322160720825
575,0.0023358858823776243,0.0029692915201187135
610,0.0022768378257751465,0.002926698637008667
646,0.002291051435470581,0.0029587548017501832
685,0.0023142146825790404,0.0029435906171798704
727,0.002299977707862854,0.002957771348953247
770,0.0023469886779785157,0.002973528003692627
817,0.0023334248304367066,0.002914231204986572
866,0.0023348995447158814,0.0029202609062194823
918,0.0023244208335876466,0.00294204797744751
973,0.00224490921497345,0.002919121837615967
1032,0.0022545597076416017,0.0029262695789337156
1094,0.0023254326105117797,0.0029287631034851072
1160,0.0022601757526397705,0.00290915424823761
1230,0.002232955813407898,0.002891558766365051
1304,0.0023050700664520264,0.0029085880517959596
1383,0.0022684820652008057,0.002881390643119812
1466,0.002240492796897888,0.002917280054092407
1554,0.0022876374006271364,0.0029220357179641724
1648,0.002195735239982605,0.002890909266471863
1747,0.0023257529973983765,0.0029179678916931152
1852,0.0023468016147613524,0.0028918400764465333
1964,0.002282320022583008,0.002907771587371826
2082,0.0022611441373825074,0.002878180241584778
2207,0.0022996718168258666,0.0029050925493240357
2340,0.0022621102333068846,0.0028775627613067626
2481,0.0022987075090408326,0.0029035664319992066
2631,0.0023065294742584228,0.0029068456411361692
2789,0.0022178422927856445,0.002901943469047546
2957,0.0022472994804382325,0.002891978406906128
3135,0.0023592360496520995,0.0028903902769088744
3324,0.00229922981262207,0.002857698893547058
3524,0.0023303474903106688,0.0028726091623306276
3736,0.0023068680047988893,0.0028908387184143065
3961,0.0022420188665390013,0.002877085018157959
4199,0.0022218087673187255,0.0028780736446380613
4452,0.002352166557312012,0.002901435685157776
4720,0.0022253631114959715,0.0028695594310760497
5005,0.0023402877807617187,0.002873442339897156
5306,0.0023211883068084715,0.002888727140426636
5625,0.0022325807571411133,0.0028817239999771116
5964,0.0022698802947998045,0.00288131685256958
6323,0.0023126113414764404,0.0029211509227752685
6704,0.0022706451177597047,0.002874051094055176
7107,0.002329377293586731,0.002886185574531555
7535,0.002304031801223755,0.0028897451639175414
7989,0.002250932741165161,0.0028720730066299437
8470,0.0021978684663772584,0.0028945442199707033
8980,0.002344879150390625,0.002887507700920105
9520,0.002357971668243408,0.0028799755573272706
10093,0.00229146203994751,0.002863282299041748
10701,0.0023522524118423462,0.0028457202196121214
11345,0.002246517014503479,0.002829306650161743
12028,0.0023564217567443846,0.002844614624977112
12753,0.002366762614250183,0.0028724069595336913
13520,0.0023077762603759765,0.0028811882734298706
14334,0.0027391207218170166,0.002926944899559021
15197,0.002417781138420105,0.0029022079944610595
16112,0.002290743660926819,0.003006972622871399
17082,0.0025644116163253783,0.0028890947580337526
18110,0.002441223907470703,0.0028813963890075684
19201,0.0025602721452713012,0.002919024658203125
20357,0.00235916006565094,0.0029128185510635374
21582,0.0022911718606948854,0.002827628254890442
22882,0.002196474480628967,0.002824695682525635
24259,0.002271555018424988,0.0028684393405914305
25719,0.002371464133262634,0.002867554712295532
27268,0.002270253801345825,0.0028148544311523437
28909,0.0022649757146835326,0.002877103590965271
30650,0.0023667542457580567,0.002894078779220581
32495,0.0022455361604690554,0.002867774319648743
34451,0.002280943775177002,0.0028874765634536743
36525,0.0022915045499801636,0.00288675377368927
38724,0.002240193486213684,0.0028484707593917848
41055,0.0022896360635757448,0.002876621961593628
43527,0.00228625168800354,0.002863532280921936
46147,0.00214928297996521,0.002835100603103638
48925,0.002300278043746948,0.002883492422103882
51871,0.0023078962326049807,0.002881032586097717
54994,0.0022594586610794067,0.002881176400184631
58304,0.0022529744863510133,0.002877636742591858
61814,0.002308127737045288,0.002876671814918518
65535,0.0022620482444763185,0.0028534888744354246
69481,0.002322987365722656,0.0029017242193222046
73664,0.0023859829664230345,0.0028872599363327024
78098,0.0022932173013687136,0.0028778451681137087
82800,0.002332498574256897,0.0029183176040649414
87784,0.0023269081592559816,0.0028682976484298707
93069,0.002242197036743164,0.002857165360450745
98672,0.002322179865837097,0.0028754302740097047
104612,0.002331289196014404,0.002900377941131592
110910,0.0023025276899337767,0.0028697418212890627
117587,0.002262046504020691,0.0028655882835388184
124666,0.0023188534021377563,0.0028865395069122314
132171,0.0022494635581970213,0.0028667174577713013
140127,0.002335446095466614,0.002877271294593811
148563,0.002330232095718384,0.002889654612541199
157507,0.002227978515625,0.0028778024911880495
166989,0.002319708013534546,0.0029017709970474244
177042,0.0023045177459716797,0.002889668369293213
187700,0.002277321720123291,0.0028814025640487673
199000,0.002282113218307495,0.002893317413330078
210980,0.0023514985561370848,0.0028757385730743407
223681,0.002261643719673157,0.002874423861503601
237146,0.0023203219413757323,0.0028845891952514646
251423,0.0022995992422103883,0.0028760702133178713
266559,0.0022436880350112914,0.002861142683029175
282606,0.0022825534343719482,0.002895348334312439
299619,0.0023427972078323366,0.0028906245946884153
317656,0.0022585538625717163,0.0028712809801101683
336779,0.0022835280656814576,0.00289346604347229
357054,0.002349719715118408,0.0028840116739273073
378548,0.0023146172761917116,0.0028965648651123046
401337,0.0023166356563568114,0.002915913677215576
425498,0.0023193614721298216,0.0029124995708465578
451113,0.002270217514038086,0.0028595577001571657
478271,0.002298236322402954,0.0028829618453979494
507063,0.0022963883638381956,0.0028860567331314086
537589,0.0022219371318817137,0.002876609444618225
569952,0.002303900933265686,0.0028859911918640135
604263,0.002338209080696106,0.002900651264190674
640641,0.002310629367828369,0.002886874604225159
679208,0.0022862369298934935,0.002878620195388794
720096,0.0023233312606811525,0.0028831139326095582
763447,0.0022690081357955934,0.002879201531410217
809407,0.002350489592552185,0.0028769753217697145
858133,0.002296405005455017,0.002879634952545166
909794,0.002293165993690491,0.002856677556037903
964564,0.0022706419944763185,0.002882987666130066
1022631,0.002295110821723938,0.002866229724884033
1084194,0.0022848042964935303,0.0028567079305648804
1149464,0.0023408112049102783,0.0028819268703460695
1218662,0.0022818013429641722,0.0028711387872695925
1292027,0.0023129801988601684,0.0028592297792434693
1369807,0.0023533217430114746,0.0028756994724273683
1452271,0.002352693486213684,0.0029002481698989866
1539698,0.0023692521810531617,0.0028725375413894655
1632389,0.0022831504821777342,0.0028691469430923463
1730660,0.0023517748117446897,0.002876817202568054
1834847,0.002241506028175354,0.002884388065338135
1945306,0.002267434120178223,0.0028543198108673096
2062415,0.0023405936241149903,0.0028658948183059693
2186574,0.0023177126169204713,0.0028787744283676146
2318207,0.002292228889465332,0.0028817177295684814
2457765,0.002308221793174744,0.0028846482515335085
2605724,0.002327663826942444,0.00287615647315979
2762590,0.0023050617933273315,0.002886838340759277
2928900,0.0022607835054397583,0.0028824320554733276
3105222,0.0022968542337417604,0.0028723212718963624
3292158,0.002284559488296509,0.0028799968004226684
3490348,0.0023986931800842287,0.0028622228384017944
3700470,0.002339670157432556,0.0028810762405395507
3923240,0.0022765036344528197,0.002886551070213318
4159422,0.002347967767715454,0.002881424880027771
4409822,0.00227455050945282,0.0028658309936523438
4675296,0.002338549757003784,0.002885093092918396
4956752,0.002325362539291382,0.0028939520120620727
5255152,0.0024204355001449583,0.002860813808441162
5571516,0.0024004187107086183,0.0028834409475326536
5906925,0.0023582563638687134,0.0028719962120056152
6262525,0.0022368735313415527,0.0028770368576049804
6639534,0.0022929672718048095,0.0028548269987106324
7039238,0.0023812191009521485,0.00289360830783844
7463005,0.0023166322708129882,0.002862850332260132
7912283,0.0023135032176971435,0.0028758896589279174
8388608,0.002373287296295166,0.0028740901231765746
