init,,10000,3,10,0.05916333198547363,O
564.9653
fit,sklearn,10000,3,10,0.039934635162353516,10
566.9727
fit,intel,10000,3,10,0.06574869155883789,10
init,,10000,3,1000,1.443448543548584,O
18.579958
fit,sklearn,10000,3,1000,3.1603915691375732,10
18.587204
fit,intel,10000,3,1000,0.32712793350219727,10
init,,10000,3,5000,8.417455673217773,O
2.2570486
fit,sklearn,10000,3,5000,2.3483564853668213,3
2.25702
fit,intel,10000,3,5000,0.8292572498321533,4
init,,10000,50,10,0.10727071762084961,O
39280.426
fit,sklearn,10000,50,10,1.1067814826965332,10
39289.56
fit,intel,10000,50,10,0.25061678886413574,10
init,,10000,50,1000,2.565805673599243,O
27508.434
fit,sklearn,10000,50,1000,4.357139825820923,10
27509.193
fit,intel,10000,50,1000,0.6520137786865234,10
init,,10000,50,5000,12.326168060302734,O
12250.294
fit,sklearn,10000,50,5000,3.1892566680908203,4
12250.293
fit,intel,10000,50,5000,1.1294739246368408,6
init,,100000,3,10,0.1917126178741455,O
5613.303
fit,sklearn,100000,3,10,1.407979965209961,10
5618.1123
fit,intel,100000,3,10,0.14602327346801758,10
init,,100000,3,1000,78.2910966873169,O
236.46368
fit,sklearn,100000,3,1000,16.019102334976196,10
236.97517
fit,intel,100000,3,1000,0.8726179599761963,10
init,,100000,3,5000,380.7042455673218,O
70.49058
fit,sklearn,100000,3,5000,77.31667947769165,10
70.57134
fit,intel,100000,3,5000,3.8046391010284424,10
init,,100000,50,10,0.8424408435821533,O
394358.25
fit,sklearn,100000,50,10,3.0843212604522705,10
394388.56
fit,intel,100000,50,10,0.26259899139404297,10
init,,100000,50,1000,92.0284218788147,O
319887.3
fit,sklearn,100000,50,1000,11.624676942825317,10
320086.25
fit,intel,100000,50,1000,1.0824332237243652,10
init,,100000,50,5000,496.98616313934326,O
275712.38
fit,sklearn,100000,50,5000,58.904972553253174,10
275775.3
fit,intel,100000,50,5000,4.530900239944458,10
init,,500000,3,10,3.2836055755615234,O
28092.807
fit,sklearn,500000,3,10,5.4085962772369385,10
28134.078
fit,intel,500000,3,10,0.31946444511413574,10
init,,500000,3,1000,917.3899848461151,O
1228.8485
fit,sklearn,500000,3,1000,81.83449172973633,10
1231.2256
fit,intel,500000,3,1000,2.547382354736328,10
