wm,time
1,57.83961367607117
5,56.957295179367065
10,34.02824878692627
15,52.561288356781006
20,33.87075471878052
25,32.51424980163574
30,41.87328600883484
40,33.425774335861206
50,30.9310519695282
60,38.72830939292908
70,43.15131449699402
80,45.03177547454834
90,34.79274082183838
100,44.53420424461365
250,27.81301188468933
500,23.64255380630493
1000,21.15110683441162
2500,19.679863214492798
5000,20.356117963790894
10000,20.898936986923218
