wm,gflops
0.1,5.67307561915372
0.25,9.23169001730638
0.5,15.558474221159763
0.75,19.388494400621124
1,22.218684141566325
2,24.663076813177753
3,25.361695794505753
4,21.54683360849025
5,22.180395985312593
6,26.832723627152127
7,26.291927003872534
8,25.639608918664095
9,25.155567701645083
10,24.666434450088097
25,23.162628919617195
50,21.50796196762444
100,14.895567993748184
250,17.821353434423987
500,16.662270093109825
750,17.67911246968956
1000,16.228800456933953
