init,,10000,3,10,0.09160804748535156,O
566.0945
fit,sklearn,10000,3,10,0.036402225494384766,10
567.6547
fit,intel,10000,3,10,0.03201413154602051,10
init,,10000,3,1000,1.3277192115783691,O
18.199875
fit,sklearn,10000,3,1000,2.364880084991455,10
18.207048
fit,intel,10000,3,1000,0.26637983322143555,10
init,,10000,50,10,0.19844317436218262,O
39111.164
fit,sklearn,10000,50,10,0.1863090991973877,10
39123.113
fit,intel,10000,50,10,0.25748777389526367,10
init,,10000,50,1000,1.9583983421325684,O
27412.85
fit,sklearn,10000,50,1000,2.880920171737671,10
27413.242
fit,intel,10000,50,1000,0.45023250579833984,10
init,,100000,3,10,0.1864180564880371,O
5615.2285
fit,sklearn,100000,3,10,0.38495945930480957,10
5619.0107
fit,intel,100000,3,10,0.19112133979797363,10
init,,100000,3,1000,40.878182888031006,O
237.35843
fit,sklearn,100000,3,1000,14.607303857803345,10
237.9095
fit,intel,100000,3,1000,0.837526798248291,10
init,,100000,3,10000,396.209912776947,O
38.96615
fit,sklearn,100000,3,10000,131.1994423866272,10
38.974236
fit,intel,100000,3,10000,7.195828914642334,10
init,,100000,50,10,0.4348292350769043,O
393921.16
fit,sklearn,100000,50,10,1.7644717693328857,10
393958.88
fit,intel,100000,50,10,0.33782219886779785,10
init,,100000,50,1000,56.43617486953735,O
320192.94
fit,sklearn,100000,50,1000,11.088036060333252,10
320434.2
fit,intel,100000,50,1000,1.1014626026153564,10
init,,100000,50,10000,661.3644547462463,O
247726.08
fit,sklearn,100000,50,10000,95.51823019981384,10
247732.08
fit,intel,100000,50,10000,8.994020462036133,10
init,,1000000,3,10,1.6259164810180664,O
56281.348
fit,sklearn,1000000,3,10,5.784302234649658,10
56327.477
fit,intel,1000000,3,10,0.30722928047180176,10
init,,1000000,3,1000,399.16211676597595,O
2463.2185
fit,sklearn,1000000,3,1000,142.99975323677063,10
2467.6929
fit,intel,1000000,3,1000,4.060652732849121,10
