wm,gflops
0.1,0.42807704774424354
0.25,0.9731283780216773
0.5,1.1605101192794622
0.75,1.1424297967111159
1,1.3148173350980354
2,1.738275197366058
3,1.9195639075140065
4,2.0413642624422277
5,2.0521840677393133
6,1.9868700410561255
7,1.8876906197287149
8,1.8497872172915721
9,1.794009943569012
10,1.7106185430669751
25,1.530764109622672
50,1.5760923728046463
100,1.2002888528996152
250,1.2026742683850837
500,1.1616433522649885
750,1.188317133961989
1000,1.054401767120442
